lambda,mu,m,n,theta,tao
0.000000,10,1,65527,6851467895570856521510351273984.000000,0.100066
0.000000,10,1,65528,4489561367930715676455469056.000000,0.100066
0.000000,10,1,65529,2941919773177639721762816.000000,0.100066
0.000000,10,1,65530,1927810608165575720960.000000,0.100066
0.000000,10,1,65531,1263294291530901760.000000,0.100066
0.000000,10,1,65532,827849382183115.000000,0.100066
0.000000,10,1,65533,542506257132.138855,0.100066
0.000000,10,1,65534,355520625.386405,0.100066
0.000000,10,1,65535,232986.786641,0.100066
0.000000,10,1,65536,152.587891,0.100066
0.000000,10,2,65527,1753975404485003514162407781957632.000000,0.050016
0.000000,10,2,65528,574663731648444116117271609344.000000,0.050016
0.000000,10,2,65529,188282825037296259425107968.000000,0.050016
0.000000,10,2,65530,61689926209344938967040.000000,0.050016
0.000000,10,2,65531,20212704322491867136.000000,0.050016
0.000000,10,2,65532,6622793634786073.000000,0.050016
0.000000,10,2,65533,2170024562373.954346,0.050016
0.000000,10,2,65534,711041098.180262,0.050016
0.000000,10,2,65535,232986.786641,0.050016
0.000000,10,2,65536,152.587891,0.100033
0.000000,10,3,65527,29968314136865154340258725131976704.000000,0.033341
0.000000,10,3,65528,6545779068154543742712979390464.000000,0.033341
0.000000,10,3,65529,1429772702593436610210037760.000000,0.033341
0.000000,10,3,65530,312305251427484340060160.000000,0.033341
0.000000,10,3,65531,68217877086810161152.000000,0.033341
0.000000,10,3,65532,14901285677919188.000000,0.033341
0.000000,10,3,65533,3255036843484.634277,0.033341
0.000000,10,3,65534,711041098.180262,0.033341
0.000000,10,3,65535,232986.786641,0.050011
0.000000,10,3,65536,152.587891,0.100033
